slevel,grad,Di,MAPKpp,MAPKpp[0],MAPKpp[1],MI,Scyto[0],Scyto[1],Smem[0],Smem[1],Stot,StotNative,StotNone,StotOE,StotOpt,Sves[0],Sves[1],dX,dtzero,gdm,l,maxdose,numiter,p2,p3a,p3b,p3c,p3d,p3e,p4a,p4b,p4n,p5,tp
StotNative,0.358974358974,0.0001,0.347949964159,0.0031652660596,0.00316564501763,1.24196330844,1.46518690472,1.46518575138,0.022776310227,0.0227800672317,1.5,1.5,0.0,42.0,3.3,0.0120334472975,0.0120375191462,0.0001,1.08577549607e-10,3.05128205128e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.384615384615,0.0001,0.357740791211,0.00325431717278,0.00325473691873,1.28392879361,1.46228010605,1.462278845,0.0243241002246,0.0243281094821,1.5,1.5,0.0,42.0,3.3,0.0133921591049,0.0133966801391,0.0001,1.20705743924e-10,3.26923076923e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.410256410256,0.0001,0.367656806322,0.00334450732692,0.00334496756177,1.31979111641,1.45935932722,1.45935795773,0.0258615201283,0.0258657796292,1.5,1.5,0.0,42.0,3.3,0.0147752226932,0.0147801925951,0.0001,1.27174117799e-10,3.48717948718e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.435897435897,0.0001,0.377656459566,0.00343545883809,0.00343595863434,1.34893103391,1.45642964265,1.45642815263,0.027388715209,0.0273932226221,1.5,1.5,0.0,42.0,3.3,0.0161774262657,0.0161828406192,0.0001,1.38617064493e-10,3.70512820513e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.461538461538,0.0001,0.38770312262,0.00352683827275,0.00352737712171,1.37353657505,1.45349549365,1.45349389513,0.0289058391951,0.0289105927633,1.5,1.5,0.0,42.0,3.3,0.0175941623814,0.0176000168786,0.0001,1.49456097533e-10,3.92307692308e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.487179487179,0.0001,0.397764726285,0.00361835414514,0.00361893101411,1.39305818434,1.4505607754,1.45055906587,0.0304130521852,0.0304180498649,1.5,1.5,0.0,42.0,3.3,0.0190213845386,0.0190276721374,0.0001,1.55827137895e-10,4.14102564103e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.512820512821,0.0001,0.407813332092,0.00370975227765,0.00371036615179,1.40829949426,1.44762886451,1.44762704655,0.0319105175676,0.0319157574685,1.5,1.5,0.0,42.0,3.3,0.0204555504833,0.0204622634217,0.0001,1.63838495375e-10,4.35897435897e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.538461538462,0.0001,0.417824740065,0.00380081267664,0.00380146221255,1.41915409146,1.44470268744,1.44470075396,0.0333984004915,0.0334038805606,1.5,1.5,0.0,42.0,3.3,0.0218935742792,0.021900703277,0.0001,1.73390655549e-10,4.57692307692e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.564102564103,0.0001,0.42777810691,0.00389134555682,0.0038920297402,1.42690650966,1.44178475089,1.44178270845,0.0348768658657,0.0348825844275,1.5,1.5,0.0,42.0,3.3,0.0233327770144,0.0233403133557,0.0001,1.82193673204e-10,4.79487179487e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.589743589744,0.0001,0.437655584251,0.00398118862072,0.00398190628301,1.43165367197,1.43887720581,1.43887506223,0.0363460776571,0.0363520329393,1.5,1.5,0.0,42.0,3.3,0.0247708438129,0.0247787775493,0.0001,1.95421173202e-10,5.01282051282e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
