Input,lbl,slevel,MAPKpp,MI,p4a,p4b,p4m,p4n
0.01,model,StotNative,0.259920737459673,0.11873023941411015,0.003,6.5,-47.5,495
0.030204081632653063,model,StotNative,0.26224117038601835,0.26975070240734955,0.003,6.5,-47.5,495
0.05040816326530612,model,StotNative,0.26613774973159043,0.4375036296102242,0.003,6.5,-47.5,495
0.07061224489795918,model,StotNative,0.2715254029829126,0.6197775058483144,0.003,6.5,-47.5,495
0.09081632653061224,model,StotNative,0.2783010071571792,0.8118802291812818,0.003,6.5,-47.5,495
0.11102040816326529,model,StotNative,0.28634779471832994,1.0114423637243948,0.003,6.5,-47.5,495
0.13122448979591836,model,StotNative,0.29553988463941006,1.2151413074888704,0.003,6.5,-47.5,495
0.15142857142857144,model,StotNative,0.3057465907272023,1.421545020189743,0.003,6.5,-47.5,495
0.1716326530612245,model,StotNative,0.31683636396011466,1.627143954239318,0.003,6.5,-47.5,495
0.19183673469387755,model,StotNative,0.32868002856221334,1.829778403028273,0.003,6.5,-47.5,495
0.2120408163265306,model,StotNative,0.341153497754941,2.027970554794246,0.003,6.5,-47.5,495
0.23224489795918368,model,StotNative,0.3541397000660412,2.2205110778093413,0.003,6.5,-47.5,495
0.2524489795918367,model,StotNative,0.36752997072889654,2.405484548820035,0.003,6.5,-47.5,495
0.2726530612244898,model,StotNative,0.3812248512898784,2.582716342340687,0.003,6.5,-47.5,495
0.29285714285714287,model,StotNative,0.39513444934306535,2.749352629525264,0.003,6.5,-47.5,495
0.3130612244897959,model,StotNative,0.4091784485097492,2.908091984090172,0.003,6.5,-47.5,495
0.333265306122449,model,StotNative,0.4232858286181822,3.0571689870040655,0.003,6.5,-47.5,495
0.35346938775510206,model,StotNative,0.43739442058440375,3.196499366924485,0.003,6.5,-47.5,495
0.3736734693877551,model,StotNative,0.4514503125188726,3.3259917403906867,0.003,6.5,-47.5,495
0.39387755102040817,model,StotNative,0.4654071992878455,3.447138206273599,0.003,6.5,-47.5,495
0.4140816326530612,model,StotNative,0.4792256944280955,3.558019847692232,0.003,6.5,-47.5,495
0.4342857142857143,model,StotNative,0.492872643015802,3.6608828495890826,0.003,6.5,-47.5,495
0.45448979591836736,model,StotNative,0.5063204552182329,3.75547283152893,0.003,6.5,-47.5,495
0.4746938775510204,model,StotNative,0.5195464729327128,3.840915832012199,0.003,6.5,-47.5,495
0.49489795918367346,model,StotNative,0.5325323822658079,3.919680884145941,0.003,6.5,-47.5,495
0.5151020408163265,model,StotNative,0.5452636718778252,3.990668572128703,0.003,6.5,-47.5,495
0.5353061224489796,model,StotNative,0.5577291411771189,4.054030463576173,0.003,6.5,-47.5,495
0.5555102040816327,model,StotNative,0.569920458978684,4.11090109010835,0.003,6.5,-47.5,495
0.5757142857142857,model,StotNative,0.5818317675919414,4.164557381038307,0.003,6.5,-47.5,495
0.5959183673469388,model,StotNative,0.5934593322587212,4.210134537625523,0.003,6.5,-47.5,495
0.6161224489795918,model,StotNative,0.6048012304953968,4.249768608828218,0.003,6.5,-47.5,495
0.6363265306122449,model,StotNative,0.615857079916604,4.285272209141167,0.003,6.5,-47.5,495
0.656530612244898,model,StotNative,0.6266277987063497,4.315935535435106,0.003,6.5,-47.5,495
0.676734693877551,model,StotNative,0.6371153973524654,4.341786917150544,0.003,6.5,-47.5,495
0.6969387755102041,model,StotNative,0.647322796555084,4.365966968263472,0.003,6.5,-47.5,495
0.7171428571428571,model,StotNative,0.6572536704280166,4.384028295336912,0.003,6.5,-47.5,495
0.7373469387755102,model,StotNative,0.6669123083794015,4.399843607141157,0.003,6.5,-47.5,495
0.7575510204081632,model,StotNative,0.676303498378304,4.409078205977385,0.003,6.5,-47.5,495
0.7777551020408163,model,StotNative,0.6854324251942518,4.417328117400308,0.003,6.5,-47.5,495
0.7979591836734694,model,StotNative,0.6943045821195993,4.423128102907497,0.003,6.5,-47.5,495
0.8181632653061224,model,StotNative,0.7029256970038846,4.424433639947288,0.003,6.5,-47.5,495
0.8383673469387755,model,StotNative,0.7113016675839214,4.427901156092828,0.003,6.5,-47.5,495
0.8585714285714285,model,StotNative,0.7194385081500242,4.427643113926762,0.003,6.5,-47.5,495
0.8787755102040816,model,StotNative,0.7273423004945639,4.421493944313719,0.003,6.5,-47.5,495
0.8989795918367347,model,StotNative,0.7350191575317173,4.4154810517605725,0.003,6.5,-47.5,495
0.9191836734693878,model,StotNative,0.7424751865083453,4.40982133282523,0.003,6.5,-47.5,495
0.9393877551020408,model,StotNative,0.7497164719050555,4.399329415224987,0.003,6.5,-47.5,495
0.9595918367346938,model,StotNative,0.7567490322210011,4.39011215492643,0.003,6.5,-47.5,495
0.9797959183673469,model,StotNative,0.7635788195719408,4.378197854134567,0.003,6.5,-47.5,495
1.0,model,StotNative,0.7702116990788261,4.364599825015394,0.003,6.5,-47.5,495
0.01,model,StotOE,0.3934810898479385,34.66552151032838,0.003,6.5,-47.5,495
0.030204081632653063,model,StotOE,0.7526749328071974,28.629222446019924,0.003,6.5,-47.5,495
0.05040816326530612,model,StotOE,0.9140941328906138,16.548805858720247,0.003,6.5,-47.5,495
0.07061224489795918,model,StotOE,0.9767166518495235,10.190295691051091,0.003,6.5,-47.5,495
0.09081632653061224,model,StotOE,0.997543635876208,6.749451770376756,0.003,6.5,-47.5,495
0.11102040816326529,model,StotOE,0.9990809870634139,4.687857764065608,0.003,6.5,-47.5,495
0.13122448979591836,model,StotOE,0.9910038521131355,3.331717457432724,0.003,6.5,-47.5,495
