Input,MAPKpp,MI,name,slevel
0.01,0.259920737459673,0.11873023941411015,Bell,StotNative
0.12,0.2902994750848421,1.1013755827141145,Bell,StotNative
0.23,0.3526749257296063,2.1977816287491057,Bell,StotNative
0.34,0.42799138488295607,3.1048520291399444,Bell,StotNative
0.45,0.5033504941386122,3.734777584874888,Bell,StotNative
0.56,0.5725917771836309,4.1236115669052404,Bell,StotNative
0.67,0.6336508254028029,4.334777412011232,Bell,StotNative
0.78,0.6864307974064148,4.41865557591515,Bell,StotNative
0.89,0.7316348462491371,4.4174637586575205,Bell,StotNative
1.0,0.7702116990788261,4.364599825015394,Bell,StotNative
0.01,0.3934810898479385,34.66552151032838,Bell,StotOE
0.12,0.9963316321735856,4.0211846557664614,Bell,StotOE
0.23,0.9120606742079682,0.3288610917816318,Bell,StotOE
0.34,0.8230510378016476,-0.7985031480299553,Bell,StotOE
0.45,0.75161089291032,-0.5477308002038961,Bell,StotOE
0.56,0.6977320563441195,-0.8317812042587099,Bell,StotOE
0.67,0.660911478937891,-1.232431561865196,Bell,StotOE
0.78,0.6444394996009178,-0.7355622012770276,Bell,StotOE
0.89,0.6601351474372305,1.3659136007972463,Bell,StotOE
1.0,0.7170205991248708,1.4394567877491034,Bell,StotOE
0.01,0.33921601349368424,11.8966357582964,Constant,StotNative
0.12,0.699440861706622,6.780780278576371,Constant,StotNative
0.23,0.8204741883255722,5.347135450825505,Constant,StotNative
0.34,0.8826356894140664,4.556299910735057,Constant,StotNative
0.45,0.919934201733328,4.02786581733612,Constant,StotNative
0.56,0.9442384446033696,3.6371528550970056,Constant,StotNative
0.67,0.9608794717409604,3.333962893077743,Constant,StotNative
0.78,0.972629964585788,3.08395056542144,Constant,StotNative
0.89,0.9810800523652431,2.8724546942170868,Constant,StotNative
1.0,0.987208193110398,2.6911378951543723,Constant,StotNative
0.01,0.8670926258771184,47.58434375903025,Constant,StotOE
0.12,0.9609884343931401,1.5046534332905304,Constant,StotOE
0.23,0.8859692736308363,-0.11615427410346443,Constant,StotOE
0.34,0.8246874532986799,-0.7150167279100994,Constant,StotOE
0.45,0.7746398613839546,-0.9895439005070001,Constant,StotOE
0.56,0.7328045469623985,-1.1249285045859403,Constant,StotOE
0.67,0.6971133349970137,-1.1956551332470746,Constant,StotOE
0.78,0.6661589823642584,-1.2353657967147753,Constant,StotOE
0.89,0.638953560045116,-1.2602592959477308,Constant,StotOE
1.0,0.6147807034836452,-1.277029689235647,Constant,StotOE
0.01,0.259943661183153,0.12370957262620179,Rising,StotNative
0.12,0.29154597665339926,1.1445002054201825,Rising,StotNative
0.23,0.3560946105282466,2.2725793714086477,Rising,StotNative
0.34,0.43347057753107154,3.186984645849534,Rising,StotNative
0.45,0.5103351335188508,3.811321053853243,Rising,StotNative
0.56,0.5805100498447697,4.186222271288769,Rising,StotNative
0.67,0.6420508283935692,4.379772898625844,Rising,StotNative
0.78,0.694990234765757,4.448104610546565,Rising,StotNative
0.89,0.7401352331764519,4.435055524727318,Rising,StotNative
1.0,0.7785098718361207,4.3676624986013355,Rising,StotNative
0.01,0.3981757843459642,35.725451903139934,Rising,StotOE
0.12,0.9945373935738174,3.8613261755510484,Rising,StotOE
0.23,0.9014116292938348,0.14988625861913038,Rising,StotOE
0.34,0.8035735238587073,-0.9901895585030223,Rising,StotOE
0.45,0.7218666534389753,-1.408335473082652,Rising,StotOE
0.56,0.6548405121445114,-1.0751534871764954,Rising,StotOE
0.67,0.5993700309590967,-1.6198854329129444,Rising,StotOE
0.78,0.5528329640251827,-1.6360674469709233,Rising,StotOE
0.89,0.5132571516487805,-1.634881629276885,Rising,StotOE
1.0,0.4791844201006851,-1.6256211388948043,Rising,StotOE
0.01,0.36547438624674694,15.377411440732827,Falling,StotNative
0.12,0.7630804509877495,6.967647637180283,Falling,StotNative
0.23,0.8743947914068386,5.135269076788285,Falling,StotNative
0.34,0.9267111563802477,4.2165443456621965,Falling,StotNative
0.45,0.9558479648640529,3.6354198943796767,Falling,StotNative
0.56,0.9734437676188948,3.2200369193779506,Falling,StotNative
0.67,0.9844885941920127,2.899386241199397,Falling,StotNative
0.78,0.9914886210749332,2.640522822000394,Falling,StotNative
0.89,0.9958409640689759,2.4240042104780164,Falling,StotNative
1.0,0.9983847436057762,2.2389251234443486,Falling,StotNative
0.01,0.9151753820116332,45.23021045773116,Falling,StotOE
0.12,0.929169252354016,0.7150713670046146,Falling,StotOE
0.23,0.8410908770766781,-0.6163002690159983,Falling,StotOE
0.34,0.779562192098325,-0.9867729440923109,Falling,StotOE
0.45,0.7391581187211784,-1.0360813290899193,Falling,StotOE
0.56,0.720328782408748,-0.733933808902042,Falling,StotOE
0.67,0.7316404075792352,1.0841359569046918,Falling,StotOE
0.78,0.7848886436381508,1.0805713183244654,Falling,StotOE
0.89,0.8595077242794603,0.4489110628466032,Falling,StotOE
1.0,0.9199035947336419,-0.32508571029543626,Falling,StotOE
