Smem,p3
0.0,0.000844562881679919
0.01,0.005446618896678272
0.02,0.010040648039633874
0.03,0.014626417025912218
0.04,0.019203687150510088
0.05,0.02377221420109527
0.06,0.028331748371297955
0.07,0.03288203417435294
0.08,0.03742281035719599
0.09,0.041953809815123706
0.1,0.04647475950713058
0.11,0.050985380372043046
0.12,0.055485387245575536
0.13,0.05997448877843896
0.14,0.06445238735563823
0.15,0.06891877901710088
0.16,0.07337335337978525
0.17,0.077815793561422
0.18,0.08224577610604988
0.19,0.08666297091151227
0.2,0.09106704115908718
0.21,0.09545764324543042
0.22,0.09983442671701794
0.23,0.10419703420727884
0.24,0.10854510137661917
0.25,0.11287825685554082
0.26,0.11719612219106808
0.27,0.1214983117967006
0.28,0.12578443290611738
0.29,0.1300540855308636
0.3,0.13430686242225892
0.31,0.1385423490377708
0.32,0.1427601235121042
0.33,0.1469597566332645
0.34,0.151140811823856
0.35000000000000003,0.1553028451278858
0.36,0.15944540520334624
0.37,0.16356803332085648
0.38,0.16767026336864813
0.39,0.17175162186418422
0.4,0.1758116279727068
0.41000000000000003,0.17984979353301128
0.42,0.18386562309075008
0.43,0.18785861393957146
0.44,0.19182825617040292
0.45,0.19577403272919006
0.46,0.19969541948340416
0.47000000000000003,0.20359188529763408
0.48,0.20746289211857674
0.49,0.21130789506974287
0.5,0.21512634255619273
0.51,0.21891767637961518
0.52,0.2226813318640623
0.53,0.2264167379926482
0.54,0.23012331755551618
0.55,0.233800487309376
0.56,0.2374476581489042
0.5700000000000001,0.24106423529029575
0.58,0.2446496184672486
0.59,0.24820320213964991
0.6,0.2517243757152274
0.61,0.2552125237844149
0.62,0.2586670263686708
0.63,0.2620872591824729
0.64,0.2654725939091993
0.65,0.26882239849108913
0.66,0.2721360374334575
0.67,0.27541287212332255
0.68,0.27865226116258074
0.6900000000000001,0.28185356071584383
0.7000000000000001,0.28501612487303135
0.71,0.28813930602678206
0.72,0.2912224552647285
0.73,0.2942649227766453
0.74,0.29726605827645575
0.75,0.3002252114390518
0.76,0.30314173235184716
0.77,0.3060149719809533
0.78,0.308844282651832
0.79,0.3116290185442417
0.8,0.31436853620125876
0.81,0.31706219505211586
0.8200000000000001,0.3197093579485588
0.8300000000000001,0.3223093917143852
0.84,0.32486166770778196
0.85,0.3273655623960417
0.86,0.3298204579421891
0.87,0.33222574280300693
0.88,0.33458081233790676
0.89,0.3368850694280409
0.9,0.33913792510501056
0.91,0.34133879918847565
0.92,0.3434871209319265
0.93,0.34558232967583374
0.9400000000000001,0.34762387550734297
0.9500000000000001,0.34961121992563915
0.96,0.3515438365120591
0.97,0.35342121160398526
0.98,0.35524284497151526
0.99,0.357008250495854
1.0,0.35871695684833993
1.01,0.3603685081689755
1.02,0.36196246474329463
1.03,0.36349840367636743
1.04,0.3649759195627065
1.05,0.3663946251508115
1.06,0.367754152001059
1.07,0.3690541511356219
1.08,0.3702942936790788
1.09,0.37147427148835654
1.1,0.3725937977706343
1.11,0.3736526076878249
1.12,0.3746504589462438
1.1300000000000001,0.37558713237006963
1.1400000000000001,0.37646243245720323
1.1500000000000001,0.37727618791613576
1.16,0.37802825218244634
1.17,0.3787185039135623
1.18,0.37934684746043457
1.19,0.3799132133148032
1.2,0.3804175585307553
1.21,0.38085986711931236
1.22,0.3812401504148149
1.23,0.3815584474119249
1.24,0.38181482507210096
1.25,0.38200937859846124
1.26,0.38214223167800215
1.27,0.3822135366901986
1.28,0.38222347488108144
1.29,0.3821722565019509
1.3,0.38206012091196073
1.31,0.3818873366438849
1.32,0.3816542014324554
1.33,0.38136104220474604
1.34,0.3810082150321633
1.35,0.38059610504369107
1.36,0.3801251263001329
1.37,0.3795957216291848
1.3800000000000001,0.3790083624212684
1.3900000000000001,0.37836354838615227
1.4000000000000001,0.37766180727048454
1.41,0.3769036945364614
1.42,0.3760897930019521
1.43,0.3752207124425015
1.44,0.37429708915572985
1.45,0.37331958548874317
1.46,0.37228888932926846
1.47,0.3712057135613193
1.48,0.3700707954862891
1.49,0.36888489621045933
1.5,0.3676488
1.51,0.36636331360461655
1.52,0.3650292655510848
1.53,0.3636475054079848
1.54,0.3622189030230233
1.55,0.36074434773439473
1.56,0.3592247475576991
1.57,0.3576610283499904
1.58,0.3560541329525815
1.59,0.35440502031427895
1.6,0.35271466459676293
1.61,0.35098405426386314
1.62,0.34921419115651153
1.6300000000000001,0.3474060895551757
1.6400000000000001,0.34556077523159834
1.6500000000000001,0.3436792844916752
1.6600000000000001,0.3417626632113153
1.67,0.33981196586712453
1.68,0.33782825456374893
1.69,0.33581259805970326
1.7,0.3337660707934923
1.71,0.33168975191181294
1.72,0.3295847243015924
1.73,0.32745207362759093
1.74,0.32529288737725537
1.75,0.32310825391446857
1.76,0.32089926154379556
1.77,0.3186669975867712
1.78,0.31641254747172465
1.79,0.3141369938385742
1.8,0.31184141565996437
1.81,0.3095268873800552
1.82,0.3071944780722027
1.83,0.3048452506167026
1.84,0.30248026089969665
1.85,0.30010055703426647
1.86,0.2977071786046684
1.87,0.29530115593458217
1.8800000000000001,0.29288350938017543
1.8900000000000001,0.29045524864870326
1.9000000000000001,0.2880173721432903
1.9100000000000001,0.2855708663344622
1.92,0.28311670515891885
1.93,0.2806558494459659
1.94,0.2781892463719451
1.95,0.2757178289429324
1.96,0.27324251550590006
1.97,0.2707642092884667
1.98,0.2682837979672947
1.99,0.2658021532651251
2.0,0.2633201305763749
2.0100000000000002,0.26083856862116384
2.02,0.25835828912757564
2.0300000000000002,0.25588009654189925
2.04,0.2534047777665507
2.05,0.2509331019253119
2.06,0.24846582015548757
2.07,0.2460036654265268
2.08,0.24354735238461503
2.09,0.24109757722270928
2.1,0.23865501757544097
2.11,0.2362203324382908
2.12,0.23379416211039664
2.13,0.2313771281603399
2.14,0.22896983341421923
2.15,0.22657286196531115
2.16,0.22418677920458516
2.17,0.22181213187133772
2.18,0.2194494481231831
2.19,0.21709923762464076
2.2,0.21476199165353776
2.21,0.21243818322445138
2.22,0.21012826722840056
2.23,0.2078326805880057
2.24,0.2055518424273253
2.25,0.20328615425559105
2.2600000000000002,0.20103600016405718
2.27,0.19880174703519643
2.2800000000000002,0.19658374476347282
2.29,0.19438232648693976
2.3000000000000003,0.19219780882891574
2.31,0.19003049214900744
2.32,0.18788066080275934
2.33,0.1857485834092269
2.34,0.18363451312578405
2.35,0.1815386879294912
2.36,0.17946133090437177
2.37,0.17740265053395615
2.38,0.17536284099847907
2.39,0.17334208247612684
2.4,0.17134054144775906
2.41,0.1693583710045411
