Smem,Bell,Constant,Rising,Falling
0.0,0.000844562881679919,0.3,0.00088,0.49276072447029623
0.01,0.005446618896678272,0.3,0.005679999999999999,0.492609409401957
0.02,0.010040648039633874,0.3,0.01048,0.4924549809824798
0.03,0.014626417025912218,0.3,0.01528,0.4922973772400776
0.04,0.019203687150510088,0.3,0.020079999999999997,0.4921365350574241
0.05,0.02377221420109527,0.3,0.02488,0.49197239015422417
0.06,0.028331748371297955,0.3,0.029679999999999998,0.49180487706968684
0.07,0.03288203417435294,0.3,0.034480000000000004,0.4916339291449059
0.08,0.03742281035719599,0.3,0.039279999999999995,0.49145947850515825
0.09,0.041953809815123706,0.3,0.044079999999999994,0.4912814560421283
0.1,0.04647475950713058,0.3,0.04888,0.491099791396068
0.11,0.050985380372043046,0.3,0.05368,0.4909144129379034
0.12,0.055485387245575536,0.3,0.05848,0.4907252477512967
0.13,0.05997448877843896,0.3,0.06328,0.490532221614678
0.14,0.06445238735563823,0.3,0.06808000000000002,0.4903352589832554
0.15,0.06891877901710088,0.3,0.07288,0.4901342829710193
0.16,0.07337335337978525,0.3,0.07768,0.4899292153327515
0.17,0.077815793561422,0.3,0.08248000000000001,0.4897199764460552
0.18,0.08224577610604988,0.3,0.08728,0.4895064852934196
0.19,0.08666297091151227,0.3,0.09208000000000001,0.4892886594443349
0.2,0.09106704115908718,0.3,0.09688000000000001,0.48906641503747417
0.21,0.09545764324543042,0.3,0.10167999999999999,0.48883966676295904
0.22,0.09983442671701794,0.3,0.10648,0.48860832784472735
0.23,0.10419703420727884,0.3,0.11128,0.4883723100230217
0.24,0.10854510137661917,0.3,0.11608,0.48813152353701805
0.25,0.11287825685554082,0.3,0.12088,0.4878858771076159
0.26,0.11719612219106808,0.3,0.12568,0.48763527792041134
0.27,0.1214983117967006,0.3,0.13047999999999998,0.48737963160887454
0.28,0.12578443290611738,0.3,0.13528,0.48711884223775725
0.29,0.1300540855308636,0.3,0.14007999999999998,0.48685281228675337
0.3,0.13430686242225892,0.3,0.14487999999999998,0.48658144263443837
0.31,0.1385423490377708,0.3,0.14967999999999998,0.48630463254251555
0.32,0.1427601235121042,0.3,0.15447999999999998,0.4860222796403951
0.33,0.1469597566332645,0.3,0.15928,0.485734279910137
0.34,0.151140811823856,0.3,0.16408,0.4854405276717866
0.35000000000000003,0.1553028451278858,0.3,0.16888,0.485140915569134
0.36,0.15944540520334624,0.3,0.17367999999999997,0.48483533455593264
0.37,0.16356803332085648,0.3,0.17847999999999997,0.4845236738826061
0.38,0.16767026336864813,0.3,0.18328,0.48420582108348315
0.39,0.17175162186418422,0.3,0.18808,0.48388166196459526
0.4,0.1758116279727068,0.3,0.19288,0.4835510805920736
0.41000000000000003,0.17984979353301128,0.3,0.19768,0.4832139592811869
0.42,0.18386562309075008,0.3,0.20247999999999997,0.4828701785860589
0.43,0.18785861393957146,0.3,0.20728,0.48251961729010884
0.44,0.19182825617040292,0.3,0.21208,0.4821621523972566
0.45,0.19577403272919006,0.3,0.21688,0.4817976591239396
0.46,0.19969541948340416,0.3,0.22168,0.4814260108919864
0.47000000000000003,0.20359188529763408,0.3,0.22648,0.4810470793223944
0.48,0.20746289211857674,0.3,0.23127999999999999,0.480660734230063
0.49,0.21130789506974287,0.3,0.23607999999999998,0.4802668436195311
0.5,0.21512634255619273,0.3,0.24087999999999998,0.4798652736817722
0.51,0.21891767637961518,0.3,0.24567999999999998,0.4794558887921015
0.52,0.2226813318640623,0.3,0.25048,0.47903855150924973
0.53,0.2264167379926482,0.3,0.25528,0.4786131225756616
0.54,0.23012331755551618,0.3,0.26008,0.478179460919076
0.55,0.233800487309376,0.3,0.26488,0.4777374236554515
0.56,0.2374476581489042,0.3,0.26968000000000003,0.4772868660932944
0.5700000000000001,0.24106423529029575,0.3,0.27448,0.4768276417394567
0.58,0.2446496184672486,0.3,0.27928,0.4763596023064663
0.59,0.24820320213964991,0.3,0.28407999999999994,0.47588259772145775
0.6,0.2517243757152274,0.3,0.28887999999999997,0.47539647613676944
0.61,0.2552125237844149,0.3,0.29368,0.4749010839422788
0.62,0.2586670263686708,0.3,0.29847999999999997,0.47439626577954463
0.63,0.2620872591824729,0.3,0.30328,0.47388186455782993
0.64,0.2654725939091993,0.3,0.30807999999999996,0.47335772147207855
0.65,0.26882239849108913,0.3,0.31288,0.4728236760229204
0.66,0.2721360374334575,0.3,0.31768,0.4722795660387824
0.67,0.27541287212332255,0.3,0.32248,0.47172522770018177
0.68,0.27865226116258074,0.3,0.32728,0.47116049556628026
0.6900000000000001,0.28185356071584383,0.3,0.33208,0.4705852026037808
0.7000000000000001,0.28501612487303135,0.3,0.33688,0.46999918021824505
0.71,0.28813930602678206,0.3,0.34168,0.46940225828791515
0.72,0.2912224552647285,0.3,0.34647999999999995,0.46879426520012174
0.73,0.2942649227766453,0.3,0.35128,0.4681750278903614
0.74,0.29726605827645575,0.3,0.35607999999999995,0.46754437188412806
0.75,0.3002252114390518,0.3,0.36088,0.46690212134158177
0.76,0.30314173235184716,0.3,0.36568,0.4662480991051404
0.77,0.3060149719809533,0.3,0.37048,0.46558212675007904
