slevel,grad,MI
StotNative,0.0,0.0
StotNative,0.02564102564102564,0.9352745991518613
StotNative,0.05128205128205128,1.44495054129417
StotNative,0.07692307692307693,1.935154174009943
StotNative,0.10256410256410256,2.3944652646921556
StotNative,0.1282051282051282,2.822539212698822
StotNative,0.15384615384615385,3.214708099645824
StotNative,0.1794871794871795,3.5704978997563064
StotNative,0.20512820512820512,3.8907879244949384
StotNative,0.23076923076923075,4.172428919454582
StotNative,0.2564102564102564,4.420629530606276
StotNative,0.28205128205128205,4.632524353718548
StotNative,0.3076923076923077,4.814678421931089
StotNative,0.3333333333333333,4.965116292145577
StotNative,0.358974358974359,5.08881730385022
StotNative,0.3846153846153846,5.187573533081979
StotNative,0.41025641025641024,5.263938482969167
StotNative,0.4358974358974359,5.31992173911846
StotNative,0.4615384615384615,5.35829330207241
StotNative,0.48717948717948717,5.378963566588716
StotNative,0.5128205128205128,5.386755262748369
StotNative,0.5384615384615384,5.379709836255168
StotNative,0.5641025641025641,5.3633497288692045
StotNative,0.5897435897435898,5.336845765797675
StotNative,0.6153846153846154,5.301689695274182
StotNative,0.641025641025641,5.259129923170524
StotNative,0.6666666666666666,5.211203605994444
StotNative,0.6923076923076923,5.156568005138956
StotNative,0.717948717948718,5.097764810861618
StotNative,0.7435897435897436,5.0362674748638305
StotNative,0.7692307692307692,4.970012298049525
StotNative,0.7948717948717948,4.9023613973591464
StotNative,0.8205128205128205,4.832691660730485
StotNative,0.8461538461538461,4.761057191584907
StotNative,0.8717948717948718,4.687706006614833
StotNative,0.8974358974358974,4.613711571240019
StotNative,0.923076923076923,4.539441730249212
StotNative,0.9487179487179487,4.465079545329588
StotNative,0.9743589743589743,4.390372223695914
StotNative,1.0,4.315533835246592
StotOpt,0.0,0.0
StotOpt,0.02564102564102564,3.4115294639174167
StotOpt,0.05128205128205128,5.69903893777878
StotOpt,0.07692307692307693,7.653777682826355
StotOpt,0.10256410256410256,9.225754006401385
StotOpt,0.1282051282051282,10.417310535445376
StotOpt,0.15384615384615385,11.257553841639515
StotOpt,0.1794871794871795,11.806018788811032
StotOpt,0.20512820512820512,12.105539710189436
StotOpt,0.23076923076923075,12.213782873890487
StotOpt,0.2564102564102564,12.168656197593185
StotOpt,0.28205128205128205,12.014072265220996
StotOpt,0.3076923076923077,11.77678861706725
StotOpt,0.3333333333333333,11.477590627481986
StotOpt,0.358974358974359,11.13803356974309
StotOpt,0.3846153846153846,10.774093511677274
StotOpt,0.41025641025641024,10.39272307572917
StotOpt,0.4358974358974359,10.006147568359957
StotOpt,0.4615384615384615,9.616614597777254
StotOpt,0.48717948717948717,9.235303434787717
StotOpt,0.5128205128205128,8.859107459614851
StotOpt,0.5384615384615384,8.49462690618502
StotOpt,0.5641025641025641,8.140925914834396
StotOpt,0.5897435897435898,7.8005856544828704
StotOpt,0.6153846153846154,7.472808000938462
StotOpt,0.641025641025641,7.161326873851858
StotOpt,0.6666666666666666,6.862189852788415
StotOpt,0.6923076923076923,6.576036432056099
StotOpt,0.717948717948718,6.303648038266574
StotOpt,0.7435897435897436,6.044843049088828
StotOpt,0.7692307692307692,5.798099007752148
StotOpt,0.7948717948717948,5.5637936806231645
StotOpt,0.8205128205128205,5.341203841933311
StotOpt,0.8461538461538461,5.128523714999181
StotOpt,0.8717948717948718,4.9274586937990295
StotOpt,0.8974358974358974,4.735112732871337
StotOpt,0.923076923076923,4.552459970552426
StotOpt,0.9487179487179487,4.3789953030585895
StotOpt,0.9743589743589743,4.2136999032588385
StotOpt,1.0,4.055950905714453
