Relative Scaffold,l,MAPKpp,MI,StotNative,MAPKpp_Norm,MI_Norm
1.0,0.75,0.6656084962687169,4.315533835246592,1.5,0.0,0.9597740430728813
1.5510204081632653,0.75,0.8225121307064086,4.542465065942483,1.5,0.47794293964834844,1.0
2.1020408163265305,0.75,0.9096902673739232,4.14664560776187,1.5,0.7434955832264265,0.9298368213715542
2.653061224489796,0.75,0.9568281897945125,3.6263337017265815,1.5,0.8870820418279246,0.8376060417796046
3.204081632653061,0.75,0.9810379716540167,3.1272675961111913,1.5,0.9608272699205962,0.7491413046576678
3.7551020408163267,0.75,0.9916503411444906,2.6816283950042985,1.5,0.9931535260273385,0.6701470505226591
4.306122448979592,0.75,0.9938979664576378,2.288470501906271,1.5,1.0,0.6004556624099677
4.857142857142857,0.75,0.9908447567678212,1.9406442253427096,1.5,0.9906996417275901,0.5387997820084023
5.408163265306122,0.75,0.9843627020659415,1.6302578948776898,1.5,0.9709547053513196,0.4837805274008943
5.959183673469387,0.75,0.9756397081310169,1.3515376929236078,1.5,0.9443836614189487,0.4343744284512632
6.510204081632653,0.75,0.9654544542912314,1.100152769509908,1.5,0.913358438971442,0.3898137962705042
7.061224489795919,0.75,0.9543314778960063,0.8726891326876434,1.5,0.8794768271462918,0.3494934647355293
7.612244897959184,0.75,0.9426321738266391,0.6670884130737862,1.5,0.8438396680786113,0.3130485661377912
8.16326530612245,0.75,0.9306101304803558,0.480601010732283,1.5,0.8072194154114607,0.2799917048541521
8.714285714285714,0.75,0.9184458775865819,0.31171023939117615,1.5,0.7701659793485442,0.25005403222741895
9.26530612244898,0.75,0.9062693441427605,0.1587973476205889,1.5,0.7330751355977101,0.2229486074733981
9.816326530612246,0.75,0.8941747531340616,0.02026868779068859,1.5,0.6962338960607282,0.1983929397215378
10.36734693877551,0.75,0.8822307319549156,-0.07842035566319233,1.5,0.6598513061096325,0.18089926465979914
10.918367346938775,0.75,0.8704873223024039,-0.21836225745429444,1.5,0.6240797973684178,0.15609308484715032
11.46938775510204,0.75,0.8589809270984877,-0.2990582893418274,1.5,0.5890302564943393,0.14178886108322358
12.020408163265307,0.75,0.8477378730770133,-0.41495747036676844,1.5,0.5547828771464596,0.12124450740611625
12.571428571428571,0.75,0.8367770028253134,-0.4484671264186253,1.5,0.5213950555833975,0.11530456702483419
13.122448979591837,0.75,0.8261116059198728,-0.5164508756073528,1.5,0.4889072730806476,0.1032537296049527
13.673469387755103,0.75,0.8157508635863127,-0.6466935138619223,1.5,0.4573474964981157,0.08016684667378156
14.224489795918368,0.75,0.8057009499364368,-0.6924949412277617,1.5,0.42673453274971274,0.07204806003181508
14.775510204081634,0.75,0.7959658963156745,-0.7174233575093405,1.5,0.39708066168537404,0.06762923501364082
15.3265306122449,0.75,0.7865482622823734,-0.7924900997173359,1.5,0.36839367995586103,0.05432286228804387
15.877551020408163,0.75,0.77744968128979,-0.8462572360930639,1.5,0.34067856321042456,0.044792069609961765
16.428571428571427,0.75,0.7686713121320454,-0.8659253541769597,1.5,0.3139388412428182,0.041305687993583376
16.979591836734695,0.75,0.7602142271758567,-0.8499948364184204,1.5,0.28817778058095206,0.04412954048500383
17.53061224489796,0.75,0.7520797571043589,-0.9642171861489566,1.5,0.26339943460836673,0.023882422861373712
18.081632653061224,0.75,0.7442698031183265,-0.9705958942502985,1.5,0.23960959455794398,0.022751729494275657
18.63265306122449,0.75,0.736787164066663,-1.0190532748197063,1.5,0.21681678598154516,0.014162147101369269
19.183673469387756,0.75,0.7296358470913219,-1.0313874091541333,1.5,0.195033215003086,0.011975791547977645
19.73469387755102,0.75,0.722821417453645,-1.0113226529931978,1.5,0.17427583392182452,0.015532481451821485
20.28571428571429,0.75,0.716351379551351,-1.0983252422021552,1.5,0.154567501825243,0.00011035380841510087
20.836734693877553,0.75,0.710235590139215,-1.0393611879428946,1.5,0.1359382432973453,0.010562355058343818
21.387755102040817,0.75,0.7044867545318949,-1.0989477935960472,1.5,0.11842675989822256,0.0
21.93877551020408,0.75,0.6991209306128274,-1.0449899906918791,1.5,0.10208196542162967,0.009564590333596298
22.48979591836735,0.75,0.6941580884821539,-0.9845665335321714,1.5,0.08696469063417583,0.020275286158232403
23.040816326530614,0.75,0.6896225932246327,-0.9559255995881024,1.5,0.07314915383090546,0.025352194134510495
23.59183673469388,0.75,0.6855435059795218,-0.8567312552720806,1.5,0.06072387792192348,0.042935439109801306
24.142857142857142,0.75,0.6819544479381954,-0.751016483449837,1.5,0.049791276156594004,0.06167449871319491
24.693877551020407,0.75,0.6788926336575167,-0.670086412209537,1.5,0.040464707506930465,0.07602020842374427
25.244897959183675,0.75,0.6763966503848338,-0.5969399935872278,1.5,0.032861712286746884,0.08898618351607115
25.79591836734694,0.75,0.6745026932992171,-0.42311300861350487,1.5,0.027092544349295932,0.11979885213326258
26.346938775510207,0.75,0.6732395361330091,-0.3939312110019393,1.5,0.02324485113671424,0.1249716339058685
26.897959183673468,0.75,0.672623329021217,-0.3003434444489975,1.5,0.021367827449547235,0.14156105376984868
27.448979591836736,0.75,0.672653932803641,-0.1895708499501838,1.5,0.021461049392993734,0.1611966658508753
28.0,0.75,0.6733140259683674,-0.08151768821743552,1.5,0.02347175404442988,0.18035022975819534
