l,Stot,MAPKpp,MI,StotNative
0.5,1.5,0.5357718795932972,3.938520168076811,1.5
0.5,2.326530612244898,0.6970920656603051,5.002424820925035,1.5
0.5,3.1530612244897958,0.8089915331062641,5.132243840460498,1.5
0.5,3.979591836734694,0.8828597982040319,4.854806406831231,1.5
0.5,4.8061224489795915,0.9309057929657422,4.449832113080968,1.5
0.5,5.63265306122449,0.9617535462099178,4.02343558195006,1.5
0.5,6.459183673469388,0.9810279495887179,3.61850775223544,1.5
0.5,7.285714285714286,0.9923664868259111,3.248291567010952,1.5
0.5,8.112244897959183,0.9981542252762946,2.9134437227752468,1.5
0.5,8.938775510204081,0.9999884733200514,2.609956800583029,1.5
0.5,9.76530612244898,0.9989635746147335,2.33409878935545,1.5
0.5,10.591836734693878,0.9958459580638905,2.0806068763619643,1.5
0.5,11.418367346938776,0.991183425071242,1.8464458184142483,1.5
0.5,12.244897959183675,0.9853747836851328,1.6295314219755925,1.5
0.5,13.071428571428571,0.9787151843796916,1.4270227380013558,1.5
0.5,13.89795918367347,0.9714262703259918,1.2384559687250063,1.5
0.5,14.724489795918368,0.9636766358593633,1.0599377552290108,1.5
0.5,15.551020408163266,0.9555959728651898,0.8935096870456047,1.5
0.5,16.377551020408163,0.9472850245008451,0.7376610609639762,1.5
0.5,17.20408163265306,0.9388227029255221,0.5914103229610154,1.5
0.5,18.03061224489796,0.9302712557744933,0.45372892172601537,1.5
0.5,18.857142857142858,0.9216800686769304,0.32407928601736985,1.5
0.5,19.683673469387756,0.9130885002088766,0.20251842209345286,1.5
0.5,20.510204081632654,0.9045280210545102,0.08925776687207508,1.5
0.5,21.336734693877553,0.8960238462511162,-0.017501210686956273,1.5
0.5,22.16326530612245,0.8875961863264445,0.7386698478619462,1.5
0.5,22.98979591836735,0.8792612642075686,-0.21078136140090567,1.5
0.5,23.816326530612244,0.871032011138004,-0.29820608389697123,1.5
0.5,24.642857142857142,0.8629187507004864,-0.3805476464032959,1.5
0.5,25.46938775510204,0.8549296490815091,-0.4574451583734703,1.5
0.5,26.29591836734694,0.8470711144274009,-0.5286589502375606,1.5
0.5,27.122448979591837,0.8393481144704465,-0.5962805167497096,1.5
0.5,27.948979591836736,0.8317644354027098,-0.6591107989705648,1.5
0.5,28.775510204081634,0.8243228943116852,-0.7178876653235547,1.5
0.5,29.602040816326532,0.8170255143948997,-0.7722497802924329,1.5
0.5,30.42857142857143,0.8098736703465919,-0.8239350260529892,1.5
0.5,31.25510204081633,0.8028682095404036,-0.8720025925324029,1.5
0.5,32.08163265306123,0.7960095536756983,-0.917037081256359,1.5
0.5,32.90816326530612,0.7892977844094613,-0.9588435737490939,1.5
0.5,33.734693877551024,0.7827327159112802,-0.9980561648634173,1.5
0.5,34.56122448979592,0.7763139566773952,-1.0354324346070425,1.5
0.5,35.38775510204082,0.7700409625214238,-1.0698900148193888,1.5
0.5,36.214285714285715,0.7639130823397694,-1.1012601100898007,1.5
0.5,37.04081632653061,0.7579295979144898,-1.131293324633585,1.5
0.5,37.86734693877551,0.7520897497776649,-0.5405419424278797,1.5
0.5,38.69387755102041,0.7463928136024744,-1.1850127700543698,1.5
0.5,39.52040816326531,0.7408380369477406,-1.2087479405541492,1.5
0.5,40.3469387755102,0.7354247556672376,-1.2305045065575897,1.5
0.5,41.173469387755105,0.7301523715217131,-1.2508528132940693,1.5
