Input,MAPKpp,MI,name,slevel
0.01,0.259920737459673,0.11873023941411015,Bell,StotNative
0.030204081632653063,0.26224117038601835,0.26975070240734955,Bell,StotNative
0.05040816326530612,0.26613774973159043,0.4375036296102242,Bell,StotNative
0.07061224489795918,0.2715254029829126,0.6197775058483144,Bell,StotNative
0.09081632653061224,0.2783010071571792,0.8118802291812818,Bell,StotNative
0.11102040816326529,0.28634779471832994,1.0114423637243948,Bell,StotNative
0.13122448979591836,0.29553988463941006,1.2151413074888704,Bell,StotNative
0.15142857142857144,0.3057465907272023,1.421545020189743,Bell,StotNative
0.1716326530612245,0.31683636396011466,1.627143954239318,Bell,StotNative
0.19183673469387755,0.32868002856221334,1.829778403028273,Bell,StotNative
0.2120408163265306,0.341153497754941,2.027970554794246,Bell,StotNative
0.23224489795918368,0.3541397000660412,2.2205110778093413,Bell,StotNative
0.2524489795918367,0.36752997072889654,2.405484548820035,Bell,StotNative
0.2726530612244898,0.3812248512898784,2.582716342340687,Bell,StotNative
0.29285714285714287,0.39513444934306535,2.749352629525264,Bell,StotNative
0.3130612244897959,0.4091784485097492,2.908091984090172,Bell,StotNative
0.333265306122449,0.4232858286181822,3.0571689870040655,Bell,StotNative
0.35346938775510206,0.43739442058440375,3.196499366924485,Bell,StotNative
0.3736734693877551,0.4514503125188726,3.3259917403906867,Bell,StotNative
0.39387755102040817,0.4654071992878455,3.447138206273599,Bell,StotNative
0.4140816326530612,0.4792256944280955,3.558019847692232,Bell,StotNative
0.4342857142857143,0.492872643015802,3.6608828495890826,Bell,StotNative
0.45448979591836736,0.5063204552182329,3.75547283152893,Bell,StotNative
0.4746938775510204,0.5195464729327128,3.840915832012199,Bell,StotNative
0.49489795918367346,0.5325323822658079,3.919680884145941,Bell,StotNative
0.5151020408163265,0.5452636718778252,3.990668572128703,Bell,StotNative
0.5353061224489796,0.5577291411771189,4.054030463576173,Bell,StotNative
0.5555102040816327,0.569920458978684,4.11090109010835,Bell,StotNative
0.5757142857142857,0.5818317675919414,4.164557381038307,Bell,StotNative
0.5959183673469388,0.5934593322587212,4.210134537625523,Bell,StotNative
0.6161224489795918,0.6048012304953968,4.249768608828218,Bell,StotNative
0.6363265306122449,0.615857079916604,4.285272209141167,Bell,StotNative
0.656530612244898,0.6266277987063497,4.315935535435106,Bell,StotNative
0.676734693877551,0.6371153973524654,4.341786917150544,Bell,StotNative
0.6969387755102041,0.647322796555084,4.365966968263472,Bell,StotNative
0.7171428571428571,0.6572536704280166,4.384028295336912,Bell,StotNative
0.7373469387755102,0.6669123083794015,4.399843607141157,Bell,StotNative
0.7575510204081632,0.676303498378304,4.409078205977385,Bell,StotNative
0.7777551020408163,0.6854324251942518,4.417328117400308,Bell,StotNative
0.7979591836734694,0.6943045821195993,4.423128102907497,Bell,StotNative
0.8181632653061224,0.7029256970038846,4.424433639947288,Bell,StotNative
0.8383673469387755,0.7113016675839214,4.427901156092828,Bell,StotNative
0.8585714285714285,0.7194385081500242,4.427643113926762,Bell,StotNative
0.8787755102040816,0.7273423004945639,4.421493944313719,Bell,StotNative
0.8989795918367347,0.7350191575317173,4.4154810517605725,Bell,StotNative
0.9191836734693878,0.7424751865083453,4.40982133282523,Bell,StotNative
0.9393877551020408,0.7497164719050555,4.399329415224987,Bell,StotNative
0.9595918367346938,0.7567490322210011,4.39011215492643,Bell,StotNative
0.9797959183673469,0.7635788195719408,4.378197854134567,Bell,StotNative
1.0,0.7702116990788261,4.364599825015394,Bell,StotNative
0.01,0.3934810898479385,34.66552151032838,Bell,StotOE
0.030204081632653063,0.7526749328071974,28.629222446019924,Bell,StotOE
0.05040816326530612,0.9140941328906138,16.548805858720247,Bell,StotOE
0.07061224489795918,0.9767166518495235,10.190295691051091,Bell,StotOE
0.09081632653061224,0.997543635876208,6.749451770376756,Bell,StotOE
0.11102040816326529,0.9990809870634139,4.687857764065608,Bell,StotOE
0.13122448979591836,0.9910038521131355,3.331717457432724,Bell,StotOE
0.15142857142857144,0.9779210873368659,2.371775058069798,Bell,StotOE
0.1716326530612245,0.9622215477380984,1.65448589575912,Bell,StotOE
0.19183673469387755,0.9452265816981728,1.0985807919223471,Bell,StotOE
0.2120408163265306,0.9277033447468205,0.6528344840493504,Bell,StotOE
0.23224489795918368,0.9101127545116513,0.2922851411310708,Bell,StotOE
0.2524489795918367,0.8927377157362228,-0.0034271129724943953,Bell,StotOE
0.2726530612244898,0.8757533613820074,-0.2477323395380648,Bell,StotOE
0.29285714285714287,0.8592674726281563,-0.45014017085682617,Bell,StotOE
0.3130612244897959,0.8433447336544155,-0.6177738304145127,Bell,StotOE
0.333265306122449,0.8280218188362153,-0.7577318486816609,Bell,StotOE
0.35346938775510206,0.813317070116595,-0.8735178190765157,Bell,StotOE
0.3736734693877551,0.7992368704448451,-0.9689007258975507,Bell,StotOE
0.39387755102040817,0.7857799393916348,-1.0479905935897298,Bell,StotOE
0.4140816326530612,0.7729402903418064,-1.1125023732263604,Bell,StotOE
0.4342857142857143,0.760709309442445,-1.164631092756674,Bell,StotOE
0.45448979591836736,0.7490772418235937,-0.5644322593901256,Bell,StotOE
0.4746938775510204,0.7380343449228993,-1.238812520993313,Bell,StotOE
0.49489795918367346,0.7275716458840736,-1.263932082430355,Bell,StotOE
0.5151020408163265,0.7176817216334074,-1.2825060411086475,Bell,StotOE
0.5353061224489796,0.7083592442657177,-1.2941575866530086,Bell,StotOE
0.5555102040816327,0.6996015400906181,-1.3000028481296508,Bell,StotOE
