Input,MI,name
0.01,0.11873023941411015,ctrl
0.030204081632653063,0.26975070240734955,ctrl
0.050408163265306116,0.4375036296102242,ctrl
0.07061224489795917,0.6197775058483144,ctrl
0.09081632653061224,0.8118802291812818,ctrl
0.11102040816326528,1.0114423637243948,ctrl
0.13122448979591836,1.2151413074888704,ctrl
0.15142857142857144,1.421545020189743,ctrl
0.1716326530612245,1.627143954239318,ctrl
0.19183673469387755,1.8297784030282733,ctrl
0.2120408163265306,2.027970554794246,ctrl
0.2322448979591837,2.2205110778093413,ctrl
0.2524489795918367,2.405484548820035,ctrl
0.2726530612244898,2.582716342340687,ctrl
0.2928571428571429,2.749352629525264,ctrl
0.3130612244897959,2.908091984090172,ctrl
0.333265306122449,3.057168987004065,ctrl
0.3534693877551021,3.1964993669244848,ctrl
0.3736734693877551,3.3259917403906867,ctrl
0.39387755102040817,3.4471382062735985,ctrl
0.4140816326530612,3.5580198476922322,ctrl
0.4342857142857143,3.6608828495890826,ctrl
0.4544897959183674,3.75547283152893,ctrl
0.4746938775510204,3.8409158320121985,ctrl
0.4948979591836735,3.919680884145941,ctrl
0.5151020408163265,3.990668572128703,ctrl
0.5353061224489796,4.054030463576173,ctrl
0.5555102040816327,4.11090109010835,ctrl
0.5757142857142857,4.164557381038306,ctrl
0.5959183673469388,4.210134537625523,ctrl
0.6161224489795918,4.249768608828218,ctrl
0.6363265306122449,4.285272209141167,ctrl
0.656530612244898,4.3159355354351066,ctrl
0.6767346938775509,4.341786917150544,ctrl
0.6969387755102041,4.365966968263471,ctrl
0.7171428571428571,4.384028295336912,ctrl
0.7373469387755102,4.3998436071411575,ctrl
0.7575510204081632,4.409078205977385,ctrl
0.7777551020408163,4.4173281174003085,ctrl
0.7979591836734694,4.423128102907497,ctrl
0.8181632653061224,4.424433639947288,ctrl
0.8383673469387755,4.427901156092828,ctrl
0.8585714285714285,4.427643113926762,ctrl
0.8787755102040816,4.421493944313719,ctrl
0.8989795918367347,4.4154810517605725,ctrl
0.9191836734693878,4.4098213328252305,ctrl
0.9393877551020408,4.3993294152249875,ctrl
0.9595918367346938,4.39011215492643,ctrl
0.9797959183673468,4.378197854134567,ctrl
1.0,4.364599825015394,ctrl
0.01,0.11123634251759909,rab11dn
0.030204081632653063,0.23054516066942737,rab11dn
0.05040816326530612,0.3453667640385045,rab11dn
0.07061224489795918,0.4549919098801289,rab11dn
0.09081632653061224,0.5570381404389161,rab11dn
0.11102040816326529,0.6510459926192322,rab11dn
0.13122448979591836,0.7372289669929765,rab11dn
0.15142857142857144,0.8141007948698183,rab11dn
0.1716326530612245,0.8843550723439894,rab11dn
0.19183673469387755,0.9453632060568868,rab11dn
0.2120408163265306,0.9980802148747869,rab11dn
0.23224489795918368,1.0433834884123896,rab11dn
0.2524489795918367,1.0815049382582793,rab11dn
0.2726530612244898,1.1119113472150381,rab11dn
0.29285714285714287,1.1366015560084664,rab11dn
0.3130612244897959,1.1556616572508718,rab11dn
0.333265306122449,1.169291415075186,rab11dn
0.35346938775510206,1.178945869672582,rab11dn
0.3736734693877551,1.1838254294414898,rab11dn
0.39387755102040817,1.1846462384586498,rab11dn
0.4140816326530612,1.1844655129383164,rab11dn
0.4342857142857143,1.178413294615202,rab11dn
0.45448979591836736,1.1717165216444831,rab11dn
0.4746938775510204,1.1640727824989672,rab11dn
0.49489795918367346,1.151565936393838,rab11dn
0.5151020408163265,1.1387321698923176,rab11dn
0.5353061224489796,1.1254632595509229,rab11dn
0.5555102040816327,1.110564018551471,rab11dn
0.5757142857142857,1.0963424766794312,rab11dn
0.5959183673469388,1.0780877135861349,rab11dn
0.6161224489795918,1.0608823604920967,rab11dn
0.6363265306122449,1.0432181956349666,rab11dn
0.656530612244898,1.0253957207011872,rab11dn
0.676734693877551,1.007311372322706,rab11dn
0.6969387755102041,0.9910074159922712,rab11dn
0.7171428571428571,0.9715979566349203,rab11dn
0.7373469387755102,0.9519626328901232,rab11dn
0.7575510204081632,0.9354302943864254,rab11dn
0.7777551020408163,0.9163493854747069,rab11dn
0.7979591836734694,0.898325851599169,rab11dn
0.8181632653061224,0.8796881335074821,rab11dn
0.8383673469387755,0.864299046650118,rab11dn
0.8585714285714285,0.8466290740928746,rab11dn
0.8787755102040816,0.8298051267371195,rab11dn
0.8989795918367347,0.8125643187850775,rab11dn
0.9191836734693878,0.794497462290763,rab11dn
0.9393877551020408,0.7791717343664908,rab11dn
0.9595918367346938,0.7641190388844619,rab11dn
0.9797959183673469,0.7478158177135092,rab11dn
1.0,0.7331061606192087,rab11dn
